id,Name,Description,Level,BeginnerTime,BeginnerCount,TargetMuscle,AnimationFile,ClipSource,ImageFile,MET,Part,Type,BasicCount,IntermediateCount,AdvancedCount,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side,
51,내로우 푸쉬업,손바닥을 모아서 푸쉬업을 진행하는 운동으로 안쪽 가슴을 발달 시키기에 좋은 맨몸운동,힘듬,30,10,"[""상완 삼두근"",""대흉근"",""전방 삼각근""]",,https://www.youtube.com/watch?v=omRMyAyXnvE,,7.5,"[""팔""]",상체,10,20,35,2,"[1,2]",,1,1,0,
52,런지,"하체근육의 협응력을 기르는데 탁월하고, 엉덩이 근육을 키우는데 좋은 운동",힘듬,30,15,"[""대퇴사두근"",""대둔근""]",,https://youtu.be/WlOVnfmRLsg,,7.5,"[""허벅지""]",하체,15,30,45,,"[3,4]",0,1,1,0,
53,리버스 런지,뒤로 발을 뻗으면서 내려 앉는 운동. 내려 가면서 몸이 흔들리지 않게 코어에 힘을 유지해야함,보통,30,15,"[""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/W75iFSaIyZ4,,6,"[""힙""""]",하체,15,30,45,,"[3,4]",0,1,1,0,
54,마운틴 클라이머,전신 유산소 운동으로 무릎을 가슴까지 끌어올리며 계속 달려주는 동작. 코어와 복근자극부터 효과적인 칼로리 소모까지 가능한 운동,힘듬,30,15,"[""삼각근"",""이두근"",""삼두근"",""완요골근"",""전완근""]",,https://youtu.be/4kxJTuESE5c,,7,"[""전신""]",둘다,15,25,40,,"[3,4]",0,1,1,0,
55,맨몸 스쿼트,허벅지와 코어 등 많은 부위의 근육을 활성화 시킬 수 있음.,보통,30,10,"[""대퇴사두근"",""대퇴이두근""]",,https://youtu.be/jBm2iqN3VGk,,6.3,"[""허벅지""]",하체,10,32,47,,"[3,4]",1,1,1,0,
56,맨손 쓰러스터,전신에 자극을 줄 수 있는 운동. 전신 근력 향상뿐만 아니라 칼로리 소모에도 매우 효과적인 운동,보통,30,8,"[""전방 삼각근"",""대퇴사두근""]",,https://youtu.be/-NrXLL8HosY,,6.3,"[""어깨""]",상체,8,32,47,0,"[1,2,3,4]",0,1,1,0,
57,무릎대고 푸쉬업,"기본적인 푸쉬업이 아직은 조금 버거울때, 무릎을 대고 푸쉬업을 하는 운동",보통,30,8,"[""'대흉근"",""상완 삼두근"",""전방 삼각근""]",,https://youtu.be/sYhYm9dpLxM,,6.3,"[""가슴""]",상체,8,35,55,2,"[1,2]",,1,1,0,
58,바이시클 크런치,무릎을 번갈아 팔꿈치에 찍으며 복근을 자극하는 운동,힘듬,30,14,"[""복직근"",""복사근"",""고관절""]",,https://youtu.be/UOIlcGA35Tg,,7.5,"[""코어""]",상체,14,40,60,,"[3,4]",0,1,1,0,
59,버피,칼로리를 소모시키기 위한 최고의 운동,힘듬,30,5,"[""대흉근"",""상완 삼두근"",""전방 삼각근""]",,https://youtu.be/qsThy7H9mjA,,7,"[""가슴""]",상체,5,12,20,,"[3,4]",0,1,1,0,
60,불가리안 스플릿 스쿼트(L),한다리를 올린 상태에서 런지 동작을 수행하는 운동. 한 다리에 집중하기 때문에 안정성과 균형감각 및 밸런스 향상에 유리함,힘듬,30,14,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://youtu.be/GgEwr18jCvk,,7,"[""전신""]",둘다,14,32,48,,[3],0,1,1,1,
61,사이드 니업,옆구리 근육을 단련할 수 있는 운동.,보통,30,30,"[""복직근"",""대둔근"",""외복사근""]",,https://youtu.be/JCqZ2AyWmdY,,6.3,"[""코어""]",상체,30,60,90,,"[3,4]",1,1,1,0,
62,사이드 런지,전체적인 허벅지 근육과 협응력을 기를 수 있는 맨몸운동. 중둔근을 키우기에도 좋은 운동,보통,30,12,"[""대퇴사두근"",""대퇴이두근"",""비복근""]",,https://youtu.be/gaB3f-Ao8PI,,6.3,"[""허벅지""]",하체,12,27,40,,"[3,4]",1,1,1,0,
63,스탠딩 바이시클,무릎을 올려 복근을 자극하는 운동.,쉬움,30,20,"[""복직근"",""대둔근""]",,https://youtu.be/0_eOLAYQfy8,,5,"[""코어""]",상체,20,38,55,,"[3,4]",2,1,1,0,
64,스파이더맨 푸쉬업,가슴 근육뿐만 아니라 코어 근육까지 자극할 수 있는 운동.,힘듬,30,6,"[""복직근"",""외복사근""]",,https://youtu.be/2Zwu-A8HDJY,,7.5,"[""코어""]",상체,6,16,25,4,"[1,2,3,4]",1,1,1,0,
65,스플릿 스쿼트(L),"하체 근육을 강화하고 균형을 향상시키는 데 도움을 주며, 스포츠나 다양한 유형의 운동에 유용함",힘듬,30,18,"[""대퇴사두근"",""대둔근""]",,https://youtu.be/8ZSuRXLv3VM,,7.5,"[""허벅지""]",하체,18,40,56,,[3],1,1,1,1,
66,슬로우 버피,"일반적인 버피가 힘들때, 천천히 진행할 수 있는 운동",쉬움,30,4,"[""대흉근"",""상완 삼두근"",""전방 삼각근""]",,https://youtu.be/6PxNa3Q6D8c,,5,"[""가슴""]",상체,4,10,15,,"[3,4]",0,1,1,0,
67,시티드 니업,"의자, 바닥 등 어디에서도 할 수 있는 매우 간단한 복근 운동.",보통,30,19,"[""복직근""]",,https://youtu.be/tW-UVHZxclw,,6.3,"[""코어""]",상체,19,36,50,,"[3,4]",1,1,1,0,
68,와이드 스쿼트,일반 스쿼트보다 발 사이의 간격을 더 넓혀서 수행하는 스쿼트. 일반 스쿼트보다 복근과 허벅지 안쪽에 자극을 더 많이 느낄 수 있음,보통,30,10,"[""대둔근"",""내전근""]",,https://youtu.be/Kia-MbMkOfk,,6,"[""허벅지""]",하체,10,20,30,,"[3,4]",0,1,1,0,
69,와이드 푸쉬업,"푸쉬업을 시작하시는 분, 굽은 등이나 말린 어깨를 교정할 수 있는 운동",보통,30,8,"[""전방 삼각근"",""대흉근"",""상완 삼두근""]",,https://youtu.be/MF7GiFVqK3o,,6.3,"[""어깨""]",상체,8,16,32,2,"[1,2]",,1,1,0,
70,원 레그 힙 쓰러스트,엉덩이를 한 쪽씩 집중적으로 운동해서 자극을 주는 운동,보통,30,14,"[""대퇴사두근"",""대퇴이두근"",""대둔근""]",,https://youtu.be/9VbYp8ccNUM,,5,"[""허벅지""]",하체,14,30,42,,"[3,4]",0,1,1,0,
71,점프 스쿼트,스쿼트와 유산소운동의 효과를 함께 얻을 수 있는 운동. 기초체력증진과 체중감량에 탁월한 운동,힘듬,30,11,"[""대퇴사두근"",""대둔근"",""대퇴이두근"",""비복근""]",,https://youtu.be/gZSX6YYMDXs,,7,"[""코어""]",상체,11,25,38,,,0,1,1,0,
72,데드 버그 자세,"코어 근육 강화, 복부 군살 제가, 전신 스트레칭, 집중력 향상이 되는 운동",보통,30,14,"[""척추기립근"",""삼각근""]",,https://youtu.be/Vx1gmSZUUc4,,6.5,"[""코어""]",상체,14,30,45,,"[3,4]",3,1,1,0,
73,크로스 런지,엉덩이 근육을 집중적으로 자극시킬 수 있는 운동,힘듬,30,12,"[""대퇴사두근"",""비복근"",""대둔근""]",,https://youtu.be/irygFmarGLI,,7.5,"[""허벅지""]",하체,12,29,43,,"[3,4]",0,1,1,0,
