id,Name,Description,Description_EN,Level,BeginnerTime,BeginnerCount,TargetMuscle,TargetMuscle_EN,MET,Part,Equipment,BasicCount,IntermediateCount,AdvancedCount,CaloriesPerRep,UpperCalibration,TargetDevice,LowerCalibration,exCategory,Multiply,Side,Type,AnimationFile,ClipSource,ImageFile
1,푸쉬업,"푸쉬업은 바닥에 엎드린 상태에서 손바닥을 어깨 너비로 벌리고, 팔을 펴서 몸을 들어 올린 후 다시 내리는 운동입니다. 이 운동은 가슴, 삼두근, 어깨의 근력을 강화하는 데 효과적입니다.","Push-ups involve lying face down on the floor, placing the hands at shoulder width, and lifting the body by extending the arms, then lowering back down. This exercise effectively strengthens the chest, triceps, and shoulders.",Normal,60,10,"[""대흉근"", ""삼각근"", ""삼두근""]","[""Chest"", ""Shoulders"", ""Triceps""]",8,"[""가슴"", ""어깨"", ""팔""]",1,15,20,30,0.49,0,"[1,2]",,1,1,0,상체,,https://youtu.be/MqarTc-TiGM,
2,무릎대고 푸쉬업,"무릎대고 푸쉬업은 표준 푸쉬업의 변형으로, 무릎을 바닥에 대고 수행합니다. 이 운동은 상체의 힘을 기르고, 근력을 증가시키는 데 도움이 됩니다.","Knee push-ups are a variation of the standard push-up, performed with knees on the ground. This exercise helps to build upper body strength and increase muscle mass.",Easy,60,15,"[""대흉근"", ""삼각근"", ""삼두근""]","[""Chest"", ""Shoulders"", ""Triceps""]",3.5,"[""가슴"", ""어깨"", ""팔""]",1,20,30,40,0.21,1,"[1,2]",,1,1,0,상체,,https://youtu.be/sYhYm9dpLxM,
3,스파이더맨 푸쉬업,"스파이더맨 푸쉬업은 표준 푸쉬업 동작에 다리를 옆으로 들어 올리는 동작을 추가하여 코어와 하체의 안정성을 강화하는 운동입니다. 이 운동은 복부 근육과 힙 근육의 활성화를 증가시키며, 상체의 힘과 지구력을 향상시킵니다.","Spiderman push-ups enhance core and lower body stability by adding a leg lift to the side during the standard push-up motion. This exercise increases activation of the abdominal and hip muscles, while improving upper body strength and endurance.",Hard,30,8,"[""대흉근"", ""복직근"", ""삼두근""]","[""Chest"", ""Abs"", ""Triceps""]",8,"[""가슴"", ""코어""]",1,10,15,20,0.49,0,"[1,2]",,1,1,0,상체,,https://youtu.be/2Zwu-A8HDJY,
4,와이드 푸쉬업,"와이드 푸쉬업은 표준 푸쉬업보다 손을 더 넓게 배치하여 수행하는 운동으로, 가슴 근육의 활성화를 더욱 증가시킵니다. 이 운동은 가슴, 어깨, 팔의 힘을 동시에 키울 수 있습니다.","Wide push-ups are performed with a wider hand placement than standard push-ups, increasing activation of the chest muscles. This exercise simultaneously strengthens the chest, shoulders, and arms.",Normal,30,8,"[""대흉근"", ""삼각근"", ""삼두근""]","[""Chest"", ""Shoulders"", ""Triceps""]",5,"[""가슴"", ""어깨"", ""팔""]",1,12,15,20,0.31,0,"[1,2]",,1,1,0,상체,,https://youtu.be/MF7GiFVqK3o,
5,디클라인 맨몸 푸쉬업,"디클라인 맨몸 푸쉬업은 기본 푸쉬업보다 발을 높은 위치에 두어 수행하는 운동으로, 상체의 하부 대흉근을 더 강하게 자극합니다. 이 운동은 또한 전방 삼각근과 삼두근에도 좋은 효과를 줍니다.","Decline bodyweight push-ups involve placing your feet at a higher position than standard push-ups, targeting the lower part of the chest more intensively. It also effectively engages the front deltoids and triceps.",Normal,30,8,"[""대흉근"", ""전방 삼각근"", ""삼두근""]","[""Chest"", ""Front Delts"", ""Triceps""]",8,"[""가슴"", ""어깨"", ""팔""]",1,12,15,20,0.49,0,"[1,2]",,1,1,0,상체,,https://youtu.be/TDVfnaCqJvE,
6,다이아몬드 푸쉬업,"다이아몬드 푸쉬업은 손가락을 서로 맞대어 다이아몬드 모양을 만든 후 수행하는 푸쉬업 변형입니다. 이 운동은 특히 삼두근에 더 많은 부하를 주며, 가슴과 어깨의 근육도 함께 사용됩니다.",Diamond push-ups are a variation of push-ups where the fingers are placed together to form a diamond shape. This exercise particularly targets the triceps while also engaging the chest and shoulder muscles.,Hard,30,8,"[""대흉근"", ""삼두근"", ""전방 삼각근""]","[""Chest"", ""Triceps"", ""Front Delts""]",8,"[""가슴"", ""팔""]",1,10,15,25,0.49,1,"[1,2]",,1,1,0,상체,,https://youtu.be/IOnwJGOrOnk,
7,프라울러 푸쉬업,"프라울러 푸쉬업은 표준 푸쉬업에 변형을 준 운동으로, 팔을 굽히고 펴는 동작과 함께 몸을 앞으로 이동시키는 동작을 결합합니다. 이 운동은 상체와 코어의 힘을 동시에 증진시키는 데 효과적입니다.",The prowler push-up is a variation of the standard push-up that incorporates a forward movement along with the bending and extending of the arms. This exercise effectively enhances both upper body and core strength.,Hard,30,8,"[""대흉근"", ""삼각근"", ""복직근""]","[""Chest"", ""Shoulders"", ""Abs""]",8,"[""가슴"", ""어깨"", ""코어""]",1,10,15,20,0.49,0,"[1,2]",,1,1,0,상체,,https://youtu.be/3KU8cviQXFQ,
8,그랜마 푸쉬업,"그랜마 푸쉬업은 전통적인 푸쉬업의 변형으로, 더 낮은 강도로 수행되어 초보자나 노년층에게 적합합니다. 이 운동은 가슴, 삼두근, 코어 근육을 강화하는 데 도움이 됩니다.","The Grandma Push-up is a variation of the traditional push-up, performed at a lower intensity suitable for beginners or the elderly. It helps strengthen the chest, triceps, and core muscles.",Easy,60,8,"[""대흉근"", ""삼각근"", ""복직근""]","[""Chest"", ""Triceps"", ""Abs""]",3.5,"[""가슴"", ""코어""]",1,10,12,15,0.21,0,"[1,2]",,1,1,0,상체,,https://youtu.be/dasngu70oOU,
9,아쳐 푸쉬업,"아쳐 푸쉬업은 한 손을 푸쉬업 위치에 두고 다른 손은 바닥에 넓게 두어 수행하는 변형된 푸쉬업입니다. 이 운동은 표준 푸쉬업보다 더 많은 근육 조절력과 균형을 요구하며, 한쪽 팔의 힘과 안정성을 향상시키는 데 도움이 됩니다.","The archer push-up is a modified push-up where one hand is placed in a standard push-up position while the other is spread wide on the floor. This exercise requires more muscular control and balance than a standard push-up, helping to improve strength and stability in one arm.",Hard,30,5,"[""대흉근"", ""삼각근"", ""삼두근""]","[""Chest"", ""Shoulders"", ""Triceps""]",8,"[""가슴"", ""어깨"", ""팔""]",1,10,15,20,0.49,0,"[1,2]",,1,2,0,상체,,https://youtu.be/wCiSKj8CGKQ,
11,좌우 푸쉬업(SIde to Side),"좌우 푸쉬업은 기본 푸쉬업 자세에서 시작하여, 한 손을 옆으로 이동시키며 수행하는 변형된 푸쉬업입니다. 이 운동은 가슴 근육의 사용을 극대화하며, 코어와 어깨의 안정성도 동시에 향상시킵니다.","The Side to Side Push-up starts in a standard push-up position, then shifts one hand to the side for each rep. This variation enhances chest muscle engagement and also improves core and shoulder stability.",Hard,30,8,"[""대흉근"", ""삼각근"", ""복직근""]","[""Chest"", ""Shoulders"", ""Abs""]",8,"[""가슴"", ""어깨"", ""코어""]",1,10,15,20,0.49,0,"[1,2]",,1,1,0,상체,,https://youtu.be/DgkcQl-3zoc,
